redcap_randomization_number,redcap_randomization_group,,,,
,1,,,,
,2,,,NOTES:,
,3,,," - Do NOT modify the first row, although you may modify, add, or delete any other row in this file.",
,1,,, - Remember that this file is ONLY a template and should NOT be used as-is as your allocation table.,
,2,,, - You do not have to delete this 'notes' column when uploading your allocation table (it will be ignored).,
,3,,, - Below is a list of all raw coded values and their corresponding option labels for each strata field and/or Data Access Groups.,
,,,,,
,,,,"Randomization Field: ""rand_group_6"" (Randomization group)",
,,,,Your randomization field is a single-select field (for open allocation):,
,,,, - Values in the redcap_randomization_number column are optional,
,,,, - Values in the redcap_randomization_group column are REQUIRED and must match the values for your randomization field,
,,,,"Values/labels for ""randomization_group"" (""rand_group_6""):",
,,,,1,Drug A
,,,,2,Drug B
,,,,3,Placebo
